Compute Saved (%),csqa_gen,gsm8k
5.36%,19.50±1.98,4.25±1.01
10.26%,19.50±1.98,4.25±1.01
15.16%,19.50±1.98,4.25±1.01
20.06%,19.50±1.98,4.25±1.01
24.89%,19.50±1.98,4.25±1.01
29.79%,19.50±1.98,4.25±1.01
35.16%,19.50±1.98,4.25±1.01
40.06%,19.50±1.98,4.25±1.01
49.79%,19.50±1.98,4.25±1.01
59.59%,19.50±1.98,4.25±1.01
61.97%,19.50±1.98,4.25±1.01
61.97%,19.50±1.98,4.25±1.01
61.97%,19.50±1.98,4.25±1.01
61.97%,19.50±1.98,4.25±1.01
