Benchmark,Compute Saved @90%
commonsense_qa,61.242144542594716
hellaswag,61.242144542594716
mmlu_stem,61.242144542594716
openbookqa,61.242144542594716
piqa,61.242144542594716
squadv2,
winogrande,61.242144542594716
