Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande,Average
0%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
5%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
10%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
15%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
20%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
25%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
30%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
45%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
60%,19.0,42.0,21.281319378369805,21.0,70.0,,58.5,38.63021989639497
