Benchmark,Compute Saved @90%
commonsense_qa,99.7031992370232
hellaswag,99.7031992370232
mmlu_stem,99.7031992370232
openbookqa,99.7031992370232
piqa,0.0
squadv2,
winogrande,99.7031992370232
