Compute Saved (%),commonsense_qa,hellaswag,mmlu_stem,openbookqa,piqa,squadv2,winogrande,Average
0%,17.75,25.5,23.27941642879797,12.5,59.0,,49.25,31.213236071466326
5%,17.924575218686627,25.63093141401497,22.9416717938508,12.281780976641716,57.865261078536925,,49.599150437373254,31.040561819850712
10%,18.099150437373254,25.76186282802994,22.60392715890363,12.063561953283434,56.73052215707386,,49.9483008747465,30.867887568235105
15%,18.27372565605988,25.89279424204491,22.266182523956463,11.84534292992515,55.59578323561078,,50.297451312119755,30.69521331661949
20%,18.448300874746508,26.02372565605988,21.928437889009295,11.627123906566867,54.46104431414771,,50.64660174949301,30.52253906500388
25%,18.62287609343313,26.15465707007485,21.590693254062128,11.408904883208583,53.32630539268464,,50.99575218686626,30.349864813388265
30%,18.822319228885153,26.861596144425764,21.293894949576103,14.322319228885151,49.427680771114844,,50.24999999999999,30.16296838714784
45%,18.882298610663117,27.16149305331558,21.22541230625207,14.382298610663115,49.36770138933689,,50.24999999999999,30.21153399503846
60%,18.94227799244108,27.4613899622054,21.156929662928043,14.442277992441078,49.30772200755892,,50.24999999999999,30.26009960292909
