Compute Saved (%),csqa_gen,gsm8k,piqa_gen,Average
0%,1.7500000000000002,0.0,4.75,2.1666666666666665
5%,1.17005665276676,0.0,3.1758680575097764,1.4486415700921789
10%,0.5901133055335195,0.0,1.6017361150195528,0.7306164735176908
15%,0.010169958300279225,0.0,0.027604172529328785,0.01259137694320267
20%,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0
30%,0.0,0.0,0.0,0.0
45%,0.0,0.0,0.0,0.0
60%,0.0,0.0,0.0,0.0
