Compute Saved (%),csqa_gen,gsm8k
5.84%,19.50±1.98,4.25±1.01
10.73%,19.50±1.98,4.25±1.01
15.62%,19.50±1.98,4.25±1.01
20.52%,19.50±1.98,4.25±1.01
25.37%,19.50±1.98,4.25±1.01
30.26%,19.50±1.98,4.25±1.01
35.16%,19.50±1.98,4.25±1.01
40.05%,19.50±1.98,4.25±1.01
49.80%,19.50±1.98,4.25±1.01
59.58%,19.50±1.98,4.25±1.01
61.52%,19.50±1.98,4.25±1.01
61.52%,19.50±1.98,4.25±1.01
61.52%,19.50±1.98,4.25±1.01
61.52%,19.50±1.98,4.25±1.01
