Benchmark,Compute Saved @90%
commonsense_qa,88.11909197344423
hellaswag,88.11909197344423
mmlu_stem,88.11909197344423
openbookqa,88.11909197344423
piqa,88.11909197344423
squadv2,
winogrande,88.11909197344423
