Compute Saved (%),csqa_gen,gsm8k
8.84%,34.00±2.37,8.75±1.41
15.53%,29.00±2.27,11.00±1.57
17.35%,25.50±2.18,9.50±1.47
21.91%,17.50±1.90,8.50±1.40
28.17%,10.00±1.50,4.25±1.01
31.40%,4.75±1.06,3.00±0.85
50.51%,2.75±0.82,2.00±0.70
52.02%,2.50±0.78,0.25±0.25
82.35%,0.00±0.00,0.00±0.00
93.96%,0.00±0.00,0.00±0.00
99.83%,0.00±0.00,0.00±0.00
99.84%,0.00±0.00,0.00±0.00
99.99%,0.00±0.00,0.00±0.00
100.00%,0.00±0.00,0.00±0.00
