Compute Saved (%),csqa_gen,gsm8k
5.01%,46.00±7.12,28.00±6.41
10.00%,22.00±5.92,10.00±4.29
15.02%,4.00±2.80,0.00±0.00
20.01%,0.00±0.00,2.00±2.00
24.99%,2.00±2.00,0.00±0.00
30.00%,2.00±2.00,2.00±2.00
35.00%,0.00±0.00,0.00±0.00
39.99%,0.00±0.00,0.00±0.00
49.98%,0.00±0.00,0.00±0.00
59.98%,0.00±0.00,0.00±0.00
