Compute Saved (%),csqa_gen,gsm8k,Average,PPL Average
0%,46.0,28.000000000000004,37.0,
5%,46.0,28.000000000000004,37.0,
10%,22.012321605074217,10.009241203805662,16.01078140443994,
15%,4.054640965782426,0.030356092101348153,2.042498528941887,
20%,0.0041545097033264256,1.9979227451483368,1.0010386274258316,
25%,2.0,0.0025233722297076234,1.0012616861148538,
30%,2.0,1.9984756420391996,1.9992378210195998,
45%,0.0,0.0,0.0,
60%,0.0,0.0,0.0,
