Compute Saved (%),csqa_gen,gsm8k,Average
0%,37.5,7.75,22.625
5%,37.5,7.75,22.625
10%,37.5,7.75,22.625
15%,37.5,7.75,22.625
20%,30.281984126339246,4.719973543898746,17.500978835118996
25%,18.41578091670328,3.2571731439560363,10.836477030329657
30%,13.596330964848779,2.5,8.04816548242439
45%,2.3698324964991677,0.8739664992998336,1.6218994978995007
60%,0.9791385291788409,0.48609235278589397,0.7326154409823674
