Compute Saved (%),csqa_gen,gsm8k
15.10%,31.50±2.33,6.75±1.26
17.21%,37.50±2.42,7.75±1.34
21.13%,30.00±2.29,4.25±1.01
23.61%,19.50±1.98,3.75±0.95
27.13%,16.75±1.87,2.50±0.78
33.73%,9.50±1.47,2.50±0.78
42.76%,4.25±1.01,1.25±0.56
45.74%,1.75±0.66,0.75±0.43
59.19%,1.00±0.50,0.50±0.35
88.15%,0.25±0.25,0.00±0.00
99.64%,0.00±0.00,0.00±0.00
99.69%,0.00±0.00,0.00±0.00
99.81%,0.00±0.00,0.00±0.00
100.00%,0.00±0.00,0.00±0.00
