Compute Saved (%),csqa_gen,gsm8k
5.00%,0.50±0.35,0.00±0.00
10.00%,0.00±0.00,0.00±0.00
15.00%,0.00±0.00,0.00±0.00
20.00%,0.00±0.00,0.00±0.00
25.00%,0.00±0.00,0.00±0.00
30.00%,0.00±0.00,0.00±0.00
35.00%,0.00±0.00,0.00±0.00
40.00%,0.00±0.00,0.00±0.00
50.00%,0.00±0.00,0.00±0.00
60.00%,0.00±0.00,0.00±0.00
70.00%,0.00±0.00,0.00±0.00
80.00%,0.00±0.00,0.00±0.00
90.00%,0.00±0.00,0.00±0.00
95.01%,0.00±0.00,0.00±0.00
