Compute Saved (%),csqa_gen,gsm8k,Average
0%,0.5,0.0,0.25
5%,0.4997399913505848,0.0,0.2498699956752924
10%,0.00016426564442578728,0.0,8.213282221289364e-05
15%,0.0,0.0,0.0
20%,0.0,0.0,0.0
25%,0.0,0.0,0.0
30%,0.0,0.0,0.0
45%,0.0,0.0,0.0
60%,0.0,0.0,0.0
